EnergyLoss(eV) ProbabilityDensity(eV⁻¹)
-0.02458199249643424 4.6532222519601874e-14
-0.024562481294081662 0.0
-0.02454297009172908 1.3298390166838203e-14
-0.0245234588893765 0.0
-0.024503947687023922 0.0
-0.02448443648467134 0.0
-0.02446492528231876 0.0
-0.024445414079966178 0.0
-0.0244259028776136 0.0
-0.02440639167526102 2.941050181171079e-14
-0.024386880472908438 3.4486302702418925e-14
-0.02436736927055586 2.900804596528417e-14
-0.024347858068203276 0.0
-0.024328346865850697 6.129124985321255e-14
-0.02430883566349812 9.375139553569056e-14
-0.024289324461145536 0.0
-0.024269813258792957 0.0
-0.024250302056440375 2.3765711620882257e-15
-0.024230790854087796 1.2496947920936918e-14
-0.024211279651735217 4.532832442727397e-14
-0.024191768449382634 7.979381044798117e-14
-0.024172257247030055 3.181482854941464e-14
-0.024152746044677473 9.694675617843984e-14
-0.024133234842324894 1.2496947920936918e-14
-0.024113723639972315 1.0803510863688359e-13
-0.024094212437619732 0.0
-0.024074701235267153 5.0442289234453597e-14
-0.02405519003291457 0.0
-0.024035678830561992 0.0
-0.024016167628209413 0.0
-0.02399665642585683 6.938893903907228e-15
-0.02397714522350425 0.0
-0.02395763402115167 0.0
-0.02393812281879909 1.2798789805756883e-14
-0.02391861161644651 0.0
-0.02389910041409393 8.613249002920043e-14
-0.02387958921174135 6.007694342002878e-14
-0.02386007800938877 5.574707362399067e-14
-0.02384056680703619 9.749145934989656e-15
-0.02382105560468361 0.0
-0.023801544402331027 0.0
-0.023782033199978448 0.0
-0.02376252199762587 0.0
-0.023743010795273287 0.0
-0.023723499592920708 0.0
-0.023703988390568125 9.516692989208764e-15
-0.023684477188215546 0.0
-0.023664965985862967 0.0
-0.023645454783510385 0.0
-0.023625943581157806 0.0
-0.023606432378805223 0.0
-0.023586921176452644 0.0
-0.023567409974100065 0.0
-0.023547898771747483 0.0
-0.023528387569394904 4.794775687599895e-15
-0.02350887636704232 4.7704895589362195e-14
-0.023489365164689743 6.839667721081355e-14
-0.023469853962337164 2.011169009108471e-13
-0.02345034275998458 4.226480276869893e-14
-0.023430831557632002 2.2007395905632166e-13
-0.02341132035527942 1.183705911067534e-13
-0.02339180915292684 1.400476956625596e-13
-0.023372297950574262 1.1742690153582203e-13
-0.02335278674822168 1.3283818489639998e-13
-0.0233332755458691 2.824129818890242e-14
-0.023313764343516518 0.0
-0.02329425314116394 0.0
-0.02327474193881136 0.0
-0.023255230736458778 0.0
-0.0232357195341062 3.989863994746656e-15
-0.023216208331753616 0.0
-0.023196697129401037 0.0
-0.02317718592704846 5.4914406355521805e-14
-0.023157674724695876 0.0
-0.023138163522343297 4.2299497238218464e-14
-0.023118652319990714 0.0
-0.023099141117638135 1.6429912985671535e-13
-0.023079629915285556 6.980527267330672e-15
-0.023060118712932974 0.0
-0.023040607510580395 2.8754776337791554e-14
-0.023021096308227813 0.0
-0.023001585105875234 0.0
-0.022982073903522655 0.0
-0.022962562701170072 0.0
-0.022943051498817493 0.0
-0.02292354029646491 0.0
-0.022904029094112332 0.0
-0.022884517891759753 0.0
-0.02286500668940717 0.0
-0.02284549548705459 0.0
-0.02282598428470201 0.0
-0.02280647308234943 0.0
-0.02278696187999685 9.690859226196835e-14
-0.02276745067764427 1.1794731857861507e-13
-0.02274793947529169 0.0
-0.02272842827293911 2.1517509996016315e-14
-0.02270891707058653 0.0
-0.02268940586823395 0.0
-0.022669894665881367 0.0
-0.022650383463528788 0.0
-0.02263087226117621 0.0
-0.022611361058823626 0.0
-0.022591849856471048 0.0
-0.022572338654118465 0.0
-0.022552827451765886 1.9359513991901167e-14
-0.022533316249413307 7.922135170090883e-14
-0.022513805047060725 2.0800028366352308e-13
-0.022494293844708146 1.9771684289793257e-13
-0.022474782642355563 1.760466772360303e-13
-0.022455271440002984 1.3684886557285836e-13
-0.022435760237650405 1.2069512056456233e-13
-0.022416249035297823 6.798728247048302e-14
-0.022396737832945244 4.2299497238218464e-14
-0.02237722663059266 0.0
-0.022357715428240083 0.0
-0.022338204225887504 0.0
-0.02231869302353492 0.0
-0.022299181821182342 0.0
-0.02227967061882976 2.7255975254547593e-14
